 0        0          119    79   150
 PPRS     SSRS         0     0     1
 PPRS     SSSP         2     1     1
 PPRS     SSSR         3     7     7
 PPRS     SSSS         0     0     1
 PPRSS    SSSPP        0     1     0
 PPRSS    SSSRP        0     1     0
 PPRSS    SSSRS        2     2     2
 PP       SP           7     2    12
 PPSPP    PPSRP        0     0     1
 PPSPP    PRPSS        1     1     0
 PPSPP    PRRSP        0     0     1
 PPSP     PPSR         0     0     1
 PPSPP    PSSPR        0     1     0
 PPSPP    PSSRP        0     2     0
 PPSPP    PSSRR        1     0     0
 PPSPP    PSSRS        0     1     2
 PPSP     PRPS         0     1     3
 PPSPP    RPSPS        0     0     1
 PPSP     PRRS         0     0     1
 PPSPP    RRSPP        0     0     1
 PPSPP    RRSPR        0     0     1
 PPSPP    RSPRP        1     0     0
 PPSPP    RSSPR        0     0     2
 PPS      PPS          2     3     2
 PPSP     PSPP         1     0     0
 PPSP     PSSP         1     1     1
 PPSP     PSSR         6     2     6
 PPSPP    SSSPP        3     0     1
 PPS      PRP          0     1     4
 PPSP     RPSP         0     0     1
 PPSPR    PSPPP        0     1     0
 PPSP     RPSS         1     0     0
 PPSPR    PSSPS        0     0     1
 PPSPR    PSSRS        0     3     3
 PPS      PRR          0     1     1
 PPSPR    RPSSR        1     0     0
 PPSP     RRRP         0     1     0
 PPSPR    RRSPR        1     0     0
 PPSPR    RRSPS        0     0     1
 PPSP     RRSP         2     2     2
 PPSPR    RSSPP        1     0     1
 PPSPR    RSSPR        2     0     0
 PPSPR    RSSPS        0     1     0
 PPS      PRS          0     1     0
 PPSP     RSPR         0     0     1
 PPSPR    SRSRS        0     0     1
 PPSP     RSSP         5     2     2
 PPSPR    SSSPP        7     1     0
 PPSPR    SSSPS        0     0     1
 PPS      PSP          1     0     1
 PPSPS    PRPSP        1     0     0
 PPSPS    PSSPS        1     0     0
 PPSPS    PSSRP        1     0     0
 PPSPS    PSSRS        0     1     0
 PPS      PSR          2     1     0
 PPSPS    RRRPR        0     0     1
 PPSPS    RRSPP        1     0     0
 PPSPS    RRSPS        1     0     0
 PPSP     SRSR         1     0     0
 PPSPS    RSSPP        0     1     1
 PPS      PSS         15    18    17
 PPSP     SSSP         9     3     4
 PPSP     SSSR         0     1     0
 PPSPS    SSSPP        2     0     1
 PPSPS    SSSRR        0     1     0
 PP       SR           5     3    12
 PPSR     PPSR         0     1     0
 PPSRP    PSRRR        0     1     0
 PPSRP    PSRRS        1     0     0
 PPSR     PPSS         1     0     0
 PPSRP    PSSPP        0     2     0
 PPSRP    PSSPS        0     0     2
 PPSRP    PSSRP        0     0     1
 PPSRP    PSSSP        1     0     0
 PPSRP    RRRSS        1     0     0
 PPSRP    RRSPP        0     1     0
 PPSRP    RRSRP        1     0     0
 PPSRP    RRSRR        0     1     0
 PPSRP    RSSPP        0     2     0
 PPSRP    RSSPR        0     0     1
 PPSRP    RSSPS        0     0     1
 PPSRP    RSSRP        0     2     1
 PPSRP    RSSRS        0     0     1
 PPS      RPS          0     0     2
 PPSRP    SPPRS        0     0     1
 PPSR     PSPS         0     1     0
 PPSR     PSRR         0     0     2
 PPSRP    SRSRR        0     0     1
 PPSR     PSSP         1     0     4
 PPSR     PSSR         4     3     1
